コード,銘柄名,市場,株価,最高益連続期数,今期経常増益率,決算期,PER,PBR,利回り
3475,グッドコムA,東P,690,5,8.0,2022.10,8.5,1.84,4.35
9428,クロップス,東S,1091,5,6.8,2023.3,6.5,1.02,1.83
2749,JPHD,東P,295,5,6.6,2023.3,11.0,2.12,2.03
9418,USENHD,東P,2235,5,6.5,2023.8,14.6,3.33,0.81
1419,タマホーム,東P,2282,5,5.3,2023.5,8.0,2.30,5.70
9075,福山運,東P,3240,5,5.2,2023.3,8.1,0.51,1.85
4970,東洋合成,東S,7480,5,4.3,2023.3,17.0,3.46,0.53
1414,ショーボンド,東P,6300,5,3.6,2023.6,26.4,3.55,1.90
3035,KTK,東S,355,5,3.6,2023.8,5.9,0.53,4.23
9368,キムラユニテ,東S,780,5,3.5,2023.3,6.9,0.53,3.85
4299,ハイマックス,東P,1456,5,3.0,2023.3,14.0,1.71,2.88
9749,富士ソフト,東P,8150,5,2.9,2022.12,26.4,1.97,1.34
7504,高速,東P,1628,5,2.6,2023.3,11.6,0.97,2.83
2359,コア,東P,1470,5,2.0,2023.3,12.4,1.50,2.72
3712,情報企画,東S,3055,5,1.9,2022.9,11.6,1.88,2.95
6061,ユニバー園芸,東S,3015,5,1.9,2023.6,9.9,1.54,0.73
3050,DCM,東P,1166,5,1.3,2023.2,8.9,0.68,3.43
3495,香陵住販,東S,,5,0.5,2022.9,6.4,0.69,3.49
2168,パソナG,東P,1998,5,0.0,2023.5,9.0,1.59,1.75
